time	urgent_large_user	urgent_tiny_user	normal_large_user	normal_small_user	
72	0.581	0.112	0.0	0.288	
132	1.214	0.342	0.0	0.5	
192	1.848	0.583	0.0	0.69	
252	2.481	0.82	0.0	0.88	
312	3.114	1.058	0.0	1.07	
372	3.748	1.295	0.0	1.26	
432	4.381	1.533	0.0	1.45	
492	5.014	1.77	0.0	1.64	
552	5.648	2.025	0.0	1.844	
612	6.281	2.294	0.0	1.907	
672	6.914	2.563	0.0	1.971	
732	7.548	2.833	0.0	2.034	
792	8.181	3.103	0.0	2.097	
852	8.814	3.356	0.0	2.161	
912	9.448	3.609	0.0	2.224	
972	10.081	3.863	0.0	2.287	
1032	10.714	4.116	0.0	2.351	
1092	11.348	4.369	0.0	2.414	
1152	11.981	4.623	0.0	2.477	
1212	12.614	4.879	0.0	2.541	
1272	13.248	5.117	0.0	2.604	
1332	13.881	5.354	0.0	2.667	
1392	14.514	5.628	0.0	2.731	
1452	15.148	5.833	0.0	2.794	
1512	15.781	6.044	0.0	2.857	
1572	16.414	6.234	0.0	2.921	
1632	17.048	6.424	0.0	2.984	
1692	17.681	6.614	0.0	3.047	
1752	18.314	6.804	0.0	3.111	
1812	18.948	6.994	0.0	3.174	
1872	19.581	7.184	0.0	3.358	
1932	20.214	7.399	0.089	3.491	
1992	20.848	7.557	0.342	3.491	
2052	21.481	7.716	0.596	3.491	
2112	22.114	7.874	0.849	3.491	
2172	22.748	8.032	1.102	3.491	
2232	23.381	8.191	1.356	3.491	
2292	24.014	8.349	1.609	3.491	
2352	24.648	8.507	1.862	3.491	
2412	25.281	8.666	2.116	3.491	
2472	25.914	8.87	2.369	3.491	
2532	26.548	8.996	2.622	3.491	
2592	27.181	9.123	2.876	3.491	
2652	27.814	9.25	3.129	3.491	
2712	28.448	9.376	3.382	3.491	
2772	29.081	9.503	3.636	3.491	
2832	29.714	9.63	3.889	3.491	
2892	30.348	9.756	4.142	3.491	
2952	30.981	9.883	4.396	3.491	
3012	31.614	10.01	4.649	3.491	
3072	32.248	10.136	4.902	3.491	
3132	32.881	10.263	5.156	3.491	
3192	33.514	10.39	5.409	3.491	
3252	34.148	10.516	5.662	3.491	
3312	34.781	10.724	5.916	3.491	
3372	35.414	10.819	6.169	3.491	
3432	36.048	10.914	6.422	3.491	
3492	36.681	11.009	6.676	3.491	
3552	37.314	11.104	7.288	3.491	
3612	37.948	11.199	7.554	3.491	
3672	40.111	11.294	7.998	3.829	
3732	40.111	11.389	8.437	4.234	
3792	40.111	11.484	8.943	4.326	
3852	40.111	11.579	9.45	4.326	
3912	40.111	11.674	9.957	4.326	
3972	40.111	11.769	10.463	4.326	
4032	40.111	11.864	10.97	4.326	
4092	40.111	11.959	11.477	4.591	
4152	40.111	12.054	11.983	5.003	
4212	40.111	12.149	12.49	5.383	
4272	40.111	12.244	12.997	5.763	
4332	40.111	12.339	13.76	6.143	
4392	40.111	12.434	14.267	6.523	
4452	40.111	12.529	14.774	6.903	
4512	40.111	12.624	15.28	7.283	
4572	40.111	12.719	15.787	7.663	
4632	40.111	12.814	15.991	8.043	
4692	40.111	12.909	15.991	8.423	
4752	40.111	13.004	15.991	8.799	
4812	40.111	13.099	15.991	8.989	
4872	40.111	13.194	16.198	9.179	
4932	40.111	13.289	16.871	9.369	
4992	40.111	13.384	17.076	9.559	
5052	40.111	13.598	17.076	9.749	
5112	40.111	13.661	17.076	9.939	
5172	40.111	13.725	17.076	10.129	
5232	40.111	13.788	17.076	10.319	
5292	40.111	13.981	17.076	10.445	
5352	40.111	14.012	17.076	10.572	
5412	40.111	14.044	17.076	10.699	
5472	40.111	14.076	17.076	10.825	
5532	40.111	14.107	17.076	10.952	
5592	40.111	14.139	17.076	11.079	
5652	40.111	14.171	17.076	11.205	
5712	40.111	14.202	17.076	11.332	
5772	40.111	14.234	17.076	11.459	
5832	40.111	14.266	17.076	11.585	
5892	40.111	14.297	17.076	11.712	
5952	40.111	14.329	17.076	11.839	
6012	40.111	14.361	17.076	11.965	
6072	40.111	14.392	17.076	12.525	
6132	40.111	14.424	17.076	13.042	
6192	40.111	14.456	17.076	13.485	
6252	40.111	14.487	17.076	13.928	
6312	40.111	14.519	17.076	14.372	
6372	40.111	14.551	17.076	14.826	
6432	40.111	14.582	17.076	15.079	
6492	40.111	14.614	17.076	15.333	
6552	40.111	14.646	17.076	15.586	
6612	40.111	14.677	17.076	15.839	
6672	40.111	14.709	17.076	16.483	
6732	40.111	14.741	17.076	17.113	
6792	40.111	14.772	17.076	17.603	
6852	40.111	14.804	17.076	17.92	
6912	40.111	15.02	17.076	18.237	
6972	40.111	15.02	17.076	18.553	
7032	40.111	15.02	17.076	18.853	
7092	40.111	15.02	17.076	19.043	
7152	40.111	15.02	17.076	19.233	
7212	40.111	15.02	17.076	19.423	
7272	40.111	15.098	17.667	19.613	
7332	40.111	15.404	18.251	19.803	
7392	40.111	15.693	18.757	19.993	
7452	40.111	15.946	19.264	20.183	
7512	40.111	16.186	19.771	20.373	
7572	40.111	16.408	20.277	20.563	
7632	40.111	16.606	20.784	21.121	
7692	40.111	16.796	21.291	21.323	
7752	40.111	16.995	21.797	21.639	
7812	40.111	17.154	22.304	21.956	
7872	40.111	17.329	22.811	22.314	
7932	40.111	17.456	23.317	22.697	
7992	40.111	17.583	23.824	23.081	
8052	40.111	17.709	24.331	23.461	
8112	40.111	17.836	24.837	23.841	
8172	40.111	17.963	25.344	24.221	
8232	40.111	18.089	25.851	24.601	
8292	40.111	18.216	26.357	24.981	
8352	40.111	18.349	26.864	25.431	
8412	40.111	18.46	27.371	25.813	
8472	40.111	18.571	27.877	26.118	
8532	40.111	18.698	28.384	26.371	
8592	40.111	18.793	28.891	26.624	
8652	40.111	18.888	29.397	26.878	
8712	40.111	18.983	29.904	27.131	
8772	40.111	19.078	30.411	27.384	
8832	40.111	19.173	30.917	27.638	
8892	40.111	19.268	31.424	27.891	
8952	40.111	19.363	31.931	28.144	
9012	40.111	19.483	32.437	28.537	
9072	40.111	19.546	32.944	28.99	
9132	40.111	19.609	33.451	29.311	
9192	40.111	19.673	33.957	29.564	
9252	40.111	19.736	34.464	29.818	
9312	40.111	19.799	34.971	30.071	
9372	40.111	19.863	35.477	30.324	
9432	40.111	19.97	35.984	30.578	
9492	40.111	20.002	36.491	30.831	
9552	40.111	20.033	36.997	31.203	
9612	40.111	20.065	37.504	31.266	
9672	40.111	20.097	38.011	31.33	
9732	40.111	20.128	38.517	31.393	
9792	40.111	20.16	39.024	31.456	
9852	40.111	20.192	39.531	31.52	
9912	40.111	20.223	40.037	31.583	
9972	40.111	20.255	40.544	31.646	
10032	40.111	20.287	41.051	31.71	
10092	40.111	20.318	41.557	31.773	
10152	40.111	20.35	42.064	31.836	
10212	40.111	20.382	42.571	31.9	
10272	40.111	20.413	43.077	31.963	
10332	40.111	20.445	43.584	32.026	
10392	40.111	20.477	44.091	32.09	
10452	40.111	20.508	44.597	32.273	
10512	40.111	20.54	45.104	32.273	
10572	40.111	20.572	45.611	32.273	
10632	40.111	20.603	46.117	32.273	
10692	40.111	20.635	46.624	32.273	
10752	40.111	20.667	47.131	32.273	
10812	40.111	20.74	47.637	32.273	
10872	40.111	20.756	48.144	32.273	
10932	40.111	20.772	48.651	32.273	
10992	40.111	20.788	49.157	32.273	
11052	40.111	20.803	49.664	32.273	
11112	40.111	20.819	50.171	32.273	
11172	40.111	20.835	50.677	32.273	
11232	40.111	20.851	51.184	32.273	
11292	40.111	20.867	51.691	32.504	
11352	40.111	20.883	52.197	32.815	
11412	40.111	20.898	52.704	32.815	
11472	40.111	20.914	53.211	32.815	
11532	40.111	20.93	53.717	32.815	
11592	40.111	20.946	54.224	32.815	
11652	40.111	20.962	54.731	32.815	
11712	40.111	20.978	55.237	32.815	
11772	40.111	20.993	55.744	32.815	
11832	40.111	21.009	56.251	32.815	
11892	40.111	21.025	56.757	32.815	
11952	40.111	21.041	57.264	32.815	
12012	40.111	21.057	57.771	32.815	
12072	40.111	21.073	58.277	32.815	
12132	40.111	21.088	58.784	32.815	
12192	40.111	21.104	59.291	32.815	
12252	40.111	21.12	59.797	32.815	
12312	40.111	21.136	60.304	32.815	
12372	40.111	21.152	60.811	32.815	
12432	40.111	21.168	61.317	32.815	
12492	40.111	21.183	61.824	32.815	
12552	40.111	21.199	62.331	32.815	
12612	40.111	21.215	62.837	32.815	
12672	40.111	21.231	63.344	32.815	
12732	40.111	21.247	63.851	32.815	
12792	40.111	21.263	64.357	32.815	
12852	40.111	21.278	64.864	32.815	
12912	40.111	21.366	65.371	32.815	
12972	40.111	21.366	65.877	32.815	
13032	40.111	21.366	66.384	32.815	
13092	40.111	21.366	66.891	32.815	
13152	40.111	21.366	67.397	32.815	
13212	40.111	21.366	67.904	32.815	
13272	40.111	21.366	68.584	32.961	
13332	40.111	21.366	69.188	33.202	
13392	40.111	21.366	69.695	33.316	
13452	40.111	21.366	70.202	33.379	
13512	40.111	21.366	70.708	33.443	
13572	40.111	21.366	71.215	33.506	
13632	40.111	21.366	71.722	33.569	
13692	40.111	21.366	72.228	33.633	
13752	40.111	21.366	72.735	33.696	
13812	40.111	21.366	73.242	33.759	
13872	40.111	21.366	73.748	33.823	
13932	40.111	21.366	74.255	33.886	
13992	40.111	21.366	74.762	33.949	
14052	40.111	21.366	75.268	34.013	
14112	40.111	21.366	78.889	34.076	
14172	40.111	21.366	79.523	34.139	
14232	40.111	21.366	80.156	34.203	
14292	40.111	21.366	80.789	34.266	
14352	40.111	21.366	81.423	34.329	
14412	40.111	21.366	82.056	34.393	
14472	40.111	21.389	82.689	34.618	
14532	40.111	21.58	83.323	34.858	
14592	40.111	21.833	83.956	34.952	
14652	40.111	22.023	84.589	35.079	
14712	40.111	22.213	85.223	35.206	
14772	40.111	22.403	85.856	35.332	
14832	40.111	22.592	86.489	35.571	
14892	40.111	22.766	87.123	35.744	
14952	40.111	22.94	87.607	36.292	
15012	40.111	23.114	87.607	36.639	
15072	40.111	23.289	87.607	36.956	
15132	40.111	23.463	87.607	37.273	
15192	40.111	23.637	87.607	37.589	
15252	40.111	23.811	87.607	37.906	
15312	40.111	23.985	87.607	38.223	
15372	40.111	24.159	87.607	38.539	
15432	40.111	24.334	87.607	38.856	
15492	40.111	24.508	87.607	39.336	
15552	40.111	24.682	87.721	40.031	
15612	40.111	24.856	88.014	40.348	
15672	40.111	25.034	88.014	40.885	
15732	40.111	25.192	88.014	41.649	
15792	40.111	25.35	88.014	42.282	
15852	40.111	25.509	88.014	42.915	
